border-style	google, excel, sheets, sheets
square-6	six, zero, number, digit, quantity, amount, order, maths, sum, total
square-7	seven, zero, number, digit, quantity, amount, order, maths, sum, total
square-8	eight, zero, number, digit, quantity, amount, order, maths, sum, total
square-9	nine, zero, number, digit, quantity, amount, order, maths, sum, total
square-dot	corner, shape, element, point
square-forbid-2	box, disabled, off, block
square-forbid	box, disabled, off, block
square-off	box, disabled, block
square-rotated-off	box, disabled, block
square-toggle-horizontal	box, clone, move
square-toggle	box, clone, move
star-off	favorite, like, mark, bookmark, grade
stethoscope	doctor, medical, physician, test, examination, health, illness, sickness, scrutiny, test, hospital
submarine	sea, ocean, underwater, shipwater, war
sun-off	dark, darkmode, summer, light, brightness
table-export	spreadsheet, layout, grid, arrange, row, column, cells, sheet, arrow
table-import	spreadsheet, layout, grid, arrange, row, column, cells, sheet, arrow
table-off	spreadsheet, layout, grid, arrange, row, column
tank	war, military, armour, vehicle, gun, attack, shoot, battle, battlefield
tir	delivery, transportation, transport, logistics, vehicle, goods
tools-kitchen-2	knife, fork, spoon, cutlery, eat, restaurant, menu, cafe, cook, cut, soup, dinner, breakfast, dining, plate, dish
tools-kitchen	knife, fork, spoon, cutlery, eat, restaurant, menu, cafe, cook, cut, soup, dinner, breakfast, dining, plate, dish
tornado	wind, rotate, storm, spin, spinning, air, catastrophe, vortex
tournament	competition, competitor, sport, game, play, champion
track	trail, path, route, train, railway, railroad
tractor	countryside, vehicle, harvest, machine, motor, farm, trailer
trademark	legal, product, company, own, ownership, brand, law, right, certificate
traffic-cone	street, road, vehicle, repair, warning, lane, drive
traffic-lights	street, road, green, red, yellow, vehicle, stop, drive, crossing, pedestrian, crossroads, junction, intersection
train	railway, rails, tgv, journey, travel, network, route, passenger
trash-off	bin, litter, recycle, remove, delete, throw, away, waste
tree	nature, greenery, park, leaf, trunk, stem, root, forest, garden
trees	nature, greenery, park, leaf, trunk, stem, root, forest, garden
triangle-off	shape, crossed, angle
triangle-square-circle	shape, geometry, round, angle
trident	three, spear, weapon, sharp, tool
truck-delivery	order, purchase, online, shop, store, e-commerce, lorry
truck-off	order, purchase, online, shop, store, e-commerce, lorry
truck-return	order, purchase, online, shop, store, e-commerce, lorry
umbrella	rain, weather, storm, wet, autumn, fall
variable	maths, mathematics, science, calculate, function
versions	app, variation, different, variant, alternative
view-360	panoramic, degrees, image, around
virus-off	covid, coronavirus, biology, infection, infected, cell, viral, infectious, disease
virus-search	covid, coronavirus, biology, infection, infected, cell, viral, infectious, disease
windmill	generate, power, blade, energy, electricity
window	house, view, glass, apartment, vehicle, light, frame, home, building
wrecking-ball	demolish, building, wrecker, metal, swing, knock, down
zoom-check	verify, magnifying, glass, magnifier, ok, done
zoom-money	magnifying, glass, magnifier, earn, pay, sum, total, finance, financial
